transaction_id,date,product_id,category,unit_price,discount_pct,competitor_price,promotion_flag,quantity_sold,revenue,gross_profit
T033285,2025-01-01,P0115,Fashion,3523.49,16.74,3891.72,1,12,42281.88,11640.96
T073603,2025-01-01,P0216,Electronics,902.83,4.66,963.65,0,2,1805.66,376.78
T090009,2025-01-01,P0193,Sports,15851.69,6.66,17012.54,0,8,126813.52,49461.44
T099632,2025-01-01,P0352,Sports,11521.35,1.47,12145.9,0,17,195862.95,61175.69
T017127,2025-01-01,P0053,Sports,4446.91,7.32,4805.09,0,3,13340.73,5969.31
T084302,2025-01-01,P0343,Electronics,3479.79,0.17,3802.72,0,8,27838.32,8079.36
T065040,2025-01-01,P0036,Fashion,7893.22,6.73,8949.56,0,17,134184.74,30138.96
T015306,2025-01-01,P0112,Electronics,7096.76,0.81,7738.52,0,9,63870.84,28227.24
T061660,2025-01-01,P0078,Electronics,8430.58,7.96,8253.55,0,13,109597.54,42911.7
T037381,2025-01-01,P0174,Electronics,4536.1,7.23,4920.19,0,6,27216.6,7236.0
T051727,2025-01-01,P0172,Electronics,13925.01,14.97,14929.09,1,21,292425.21,51133.95
T037400,2025-01-01,P0240,Electronics,17736.5,4.03,19562.3,0,20,354730.0,145580.4
T079364,2025-01-01,P0133,Electronics,12790.96,6.34,12686.82,0,8,102327.68,24675.44
T006986,2025-01-01,P0002,Sports,16730.69,15.31,18332.08,1,34,568843.46,230415.62
T005384,2025-01-01,P0472,Sports,9716.22,9.96,11450.06,1,13,126310.86,21626.15
T072347,2025-01-01,P0491,Beauty,11668.12,11.4,14035.28,1,19,221694.28,85307.53
T008561,2025-01-01,P0477,Electronics,14224.31,15.0,15373.44,1,26,369832.06,101032.62
T056526,2025-01-01,P0427,Home & Kitchen,9385.72,16.58,11783.5,1,24,225257.28,65729.28
T012467,2025-01-01,P0349,Home & Kitchen,8396.97,5.83,8371.02,0,4,33587.88,6254.16
T051605,2025-01-01,P0217,Home & Kitchen,8288.37,3.39,8121.92,0,4,33153.48,16553.88
T048087,2025-01-01,P0357,Electronics,2723.55,2.18,2595.38,0,2,5447.1,1346.92
T010577,2025-01-01,P0318,Electronics,16689.16,12.1,18892.53,1,23,383850.68,146235.15
T008454,2025-01-01,P0424,Beauty,639.98,12.67,734.37,1,4,2559.92,383.6
T017221,2025-01-01,P0243,Sports,2717.91,4.22,2713.85,0,3,8153.73,1623.69
T047881,2025-01-01,P0465,Sports,8531.08,0.18,9366.64,0,12,102372.96,40783.44
T065190,2025-01-01,P0257,Sports,18522.3,2.53,20475.67,0,13,240789.9,98676.37
T072704,2025-01-01,P0234,Beauty,9472.25,6.93,9795.93,0,11,104194.75,27366.02
T044939,2025-01-01,P0493,Home & Kitchen,5119.12,7.9,6070.42,0,10,51191.2,18645.4
T058635,2025-01-01,P0218,Fashion,19487.83,2.78,20477.45,0,20,389756.6,165764.6
T087768,2025-01-01,P0058,Electronics,9411.3,1.49,10199.38,0,11,103524.3,43957.54
T029616,2025-01-01,P0468,Sports,2231.85,3.18,2324.16,0,3,6695.55,2377.05
T024153,2025-01-01,P0246,Sports,16223.1,5.82,18298.04,0,18,292015.8,90738.72
T065065,2025-01-01,P0293,Fashion,13129.17,5.26,14633.02,0,16,210066.72,93995.84
T024151,2025-01-01,P0120,Beauty,1698.78,0.9,1638.03,0,3,5096.34,2269.95
T051594,2025-01-01,P0469,Electronics,9538.38,0.08,9083.82,0,10,95383.8,44996.4
T092113,2025-01-01,P0175,Fashion,11585.61,9.79,12772.19,1,19,220126.59,83591.07
T060457,2025-01-01,P0067,Electronics,5158.57,21.5,6586.25,1,13,67061.41,22107.93
T058274,2025-01-01,P0068,Fashion,13142.9,2.47,13241.1,0,12,157714.8,78320.88
T028948,2025-01-01,P0500,Sports,16105.65,0.62,17304.43,0,10,161056.5,75526.4
T003485,2025-01-01,P0498,Electronics,8152.65,1.05,7452.92,0,8,65221.2,12884.48
T076979,2025-01-01,P0324,Home & Kitchen,12058.31,1.69,13205.41,0,13,156758.03,42673.28
T015086,2025-01-01,P0075,Fashion,7012.88,20.19,8151.03,1,21,147270.48,24450.3
T029991,2025-01-01,P0195,Home & Kitchen,4207.42,4.85,4473.24,0,2,8414.84,2752.86
T052074,2025-01-01,P0118,Electronics,16389.2,3.86,18398.41,0,17,278616.4,115322.9
T017683,2025-01-01,P0353,Fashion,5689.44,23.12,8041.53,1,12,68273.28,18913.32
T017693,2025-01-01,P0309,Fashion,18376.37,4.05,20263.37,0,17,312398.29,140232.83
T072092,2025-01-01,P0248,Sports,12924.61,1.29,13586.19,0,10,129246.1,44464.2
T004154,2025-01-01,P0022,Electronics,9703.07,6.76,10300.54,0,13,126139.91,61011.99
T050714,2025-01-01,P0342,Beauty,21229.19,0.1,21594.73,0,12,254750.28,115311.72
T022899,2025-01-01,P0354,Electronics,11854.14,1.76,11777.77,0,14,165957.96,65072.7
T064602,2025-01-01,P0234,Beauty,9757.64,4.12,11078.49,0,6,58545.84,16639.26
T092714,2025-01-01,P0065,Home & Kitchen,2168.56,14.07,2346.44,1,7,15179.92,2023.35
T085642,2025-01-01,P0350,Beauty,3713.42,1.76,3895.97,0,6,22280.52,4647.6
T025343,2025-01-01,P0252,Home & Kitchen,8494.57,0.63,9106.22,0,4,33978.28,10994.28
T065493,2025-01-01,P0436,Fashion,17738.17,2.75,16795.03,0,14,248334.38,86758.56
T048358,2025-01-01,P0063,Fashion,6510.13,0.7,6493.02,0,6,39060.78,9415.98
T069449,2025-01-01,P0416,Home & Kitchen,10182.16,7.8,11986.26,0,9,91639.44,24101.82
T023252,2025-01-01,P0118,Electronics,16849.84,1.16,18548.29,0,17,286447.28,123153.78
T034215,2025-01-01,P0022,Electronics,9986.61,4.03,10842.71,0,6,59919.66,29860.62
T096342,2025-01-01,P0355,Electronics,7717.83,2.62,7241.72,0,4,30871.32,9395.36
T097354,2025-01-01,P0278,Fashion,15447.61,2.19,16080.62,0,11,169923.71,65104.27
T034159,2025-01-01,P0073,Electronics,3717.39,11.39,4369.67,1,1,3717.39,1607.73
T062009,2025-01-01,P0084,Electronics,547.98,2.33,523.78,0,4,2191.92,882.44
T009612,2025-01-01,P0071,Fashion,18856.94,7.42,19747.37,0,17,320567.98,147117.49
T058537,2025-01-01,P0333,Electronics,4323.78,2.89,4603.96,0,13,56209.14,21326.24
T003332,2025-01-01,P0295,Electronics,1755.92,6.31,1730.04,0,1,1755.92,688.09
T077893,2025-01-01,P0151,Sports,1087.97,5.54,1224.27,0,3,3263.91,1044.27
T077909,2025-01-01,P0382,Fashion,15352.94,5.48,15697.09,0,11,168882.34,59467.43
T050876,2025-01-01,P0010,Fashion,4888.67,4.99,4867.49,0,10,48886.7,20204.0
T013911,2025-01-01,P0138,Fashion,8470.73,0.67,7911.34,0,9,76236.57,28592.73
T066861,2025-01-01,P0283,Home & Kitchen,17384.86,4.59,17688.87,0,20,347697.2,161286.8
T076419,2025-01-01,P0244,Home & Kitchen,5263.85,7.34,5802.74,0,11,57902.35,11615.45
T003325,2025-01-01,P0141,Sports,8298.23,7.2,8995.34,0,11,91280.53,28528.5
T036706,2025-01-01,P0079,Home & Kitchen,14787.95,2.17,14155.03,0,13,192243.35,81124.16
T037918,2025-01-01,P0235,Electronics,14256.9,2.69,13298.94,0,13,185339.7,80732.47
T093629,2025-01-01,P0419,Fashion,14417.97,3.38,15635.21,0,15,216269.55,81148.5
T026258,2025-01-01,P0110,Electronics,7320.85,17.89,8729.25,1,18,131775.3,9322.38
T027866,2025-01-01,P0453,Home & Kitchen,5919.18,5.19,5929.37,0,7,41434.26,16086.56
T075124,2025-01-01,P0045,Home & Kitchen,11251.6,5.45,12892.16,0,12,135019.2,62023.2
T074868,2025-01-01,P0283,Home & Kitchen,17749.55,2.59,19693.16,0,18,319491.9,151722.54
T039676,2025-01-01,P0143,Beauty,395.98,2.8,434.22,0,1,395.98,93.2
T091710,2025-01-01,P0457,Electronics,18766.51,1.52,20503.79,0,13,243964.63,112909.29
T068166,2025-01-01,P0297,Fashion,9022.91,2.73,9654.4,0,12,108274.92,52469.52
T068590,2025-01-01,P0052,Fashion,22178.85,6.04,22976.92,0,25,554471.25,266572.75
T005805,2025-01-01,P0033,Electronics,6733.56,20.83,9064.05,1,28,188539.68,16965.2
T080291,2025-01-01,P0437,Electronics,6656.76,7.24,7154.86,0,5,33283.8,7453.2
T044176,2025-01-01,P0369,Electronics,4010.64,2.6,4308.26,0,7,28074.48,14023.45
T067991,2025-01-01,P0060,Home & Kitchen,16402.19,5.55,16963.99,0,13,213228.47,99583.38
T003854,2025-01-01,P0440,Electronics,15563.06,4.2,14726.94,0,11,171193.66,73254.06
T031492,2025-01-01,P0041,Electronics,5520.74,22.42,7325.44,1,15,82811.1,31540.65
T020442,2025-01-01,P0404,Fashion,15408.79,1.91,16773.65,0,20,308175.8,147543.8
T003906,2025-01-01,P0482,Fashion,4753.64,22.63,5672.69,1,7,33275.48,11762.87
T080107,2025-01-01,P0358,Beauty,11198.46,1.64,11486.86,0,12,134381.52,65551.92
T059879,2025-01-01,P0453,Home & Kitchen,6058.48,2.96,5745.88,0,6,36350.88,14624.28
T092442,2025-01-01,P0345,Home & Kitchen,436.01,9.06,460.55,1,3,1308.03,364.8
T007889,2025-01-01,P0409,Sports,1445.85,7.59,1497.93,1,2,2891.7,1338.06
T053905,2025-01-01,P0229,Sports,14935.74,7.16,16784.35,1,16,238971.84,48567.68
T085428,2025-01-01,P0050,Electronics,10466.37,1.61,10486.83,0,12,125596.44,62742.6
T087644,2025-01-01,P0187,Fashion,2783.14,7.56,3135.71,0,6,16698.84,6451.08
T043851,2025-01-01,P0288,Beauty,13174.63,5.25,14226.41,0,18,237143.34,52224.84
T045879,2025-01-01,P0041,Electronics,5700.82,19.88,7707.76,1,15,85512.3,34241.85
T071302,2025-01-01,P0313,Electronics,14204.71,2.62,15855.45,0,20,284094.2,74969.4
T054308,2025-01-01,P0373,Electronics,12106.55,0.19,12436.87,0,9,108958.95,55466.82
T014445,2025-01-01,P0486,Sports,7282.5,3.49,7461.82,0,10,72825.0,31110.9
T066088,2025-01-01,P0251,Home & Kitchen,21118.6,6.28,20949.62,0,19,401253.4,181852.99
T094590,2025-01-01,P0499,Sports,17615.3,1.19,17343.68,0,11,193768.3,89851.85
T097500,2025-01-01,P0273,Sports,7314.45,5.19,7772.39,0,8,58515.6,15657.84
T059552,2025-01-01,P0359,Sports,11152.44,7.34,10979.37,0,13,144981.72,37584.3
T039694,2025-01-01,P0273,Sports,6114.18,20.75,7342.14,1,13,79484.34,9840.48
T098582,2025-01-01,P0213,Fashion,8921.36,6.84,9316.76,0,7,62449.52,21309.68
T039984,2025-01-01,P0369,Electronics,3267.31,20.65,3720.04,1,8,26138.48,10080.16
T093722,2025-01-01,P0201,Fashion,7395.59,6.6,7363.01,0,12,88747.08,16184.52
T008092,2025-01-01,P0133,Electronics,13216.15,3.22,14037.56,0,14,185026.1,49134.68
T032086,2025-01-01,P0131,Home & Kitchen,9788.07,1.79,9145.74,0,7,68516.49,33289.13
T032103,2025-01-01,P0051,Sports,7360.54,5.84,7593.52,0,9,66244.86,26282.16
T054310,2025-01-01,P0460,Electronics,9332.07,0.96,9369.73,0,11,102652.77,47189.34
T060940,2025-01-01,P0341,Beauty,17824.49,6.86,18567.3,0,11,196069.39,75416.11
T039890,2025-01-01,P0454,Sports,5855.41,7.33,6451.86,0,9,52698.69,12180.06
T031295,2025-01-01,P0484,Beauty,14977.29,0.5,15200.76,0,14,209682.06,60730.46
T054954,2025-01-01,P0073,Electronics,3899.94,7.04,3995.55,0,4,15599.76,7161.12
T011450,2025-01-01,P0037,Home & Kitchen,11962.63,5.42,12413.62,0,6,71775.78,19417.56
T057904,2025-01-01,P0165,Electronics,10363.56,0.63,10026.76,0,9,93272.04,28538.91
T027140,2025-01-01,P0476,Sports,8846.28,10.78,10030.29,1,11,97309.08,42651.84
T088484,2025-01-01,P0248,Sports,10184.79,22.21,14145.87,1,26,264804.54,44371.6
T034990,2025-01-01,P0028,Beauty,11252.72,1.12,10596.81,0,8,90021.76,22923.36
T078336,2025-01-01,P0364,Beauty,13463.91,7.15,13226.6,1,24,323133.84,103351.68
T089060,2025-01-01,P0151,Sports,1081.72,6.08,1154.73,0,2,2163.44,683.68
T049325,2025-01-01,P0045,Home & Kitchen,9128.19,23.29,11815.36,1,19,173435.61,57858.61
T046481,2025-01-01,P0050,Electronics,10054.14,5.48,11686.99,0,10,100541.4,48163.2
T039754,2025-01-01,P0461,Electronics,9673.54,1.8,10550.24,0,12,116082.48,27981.96
T090287,2025-01-01,P0170,Beauty,7248.89,2.02,7119.71,0,6,43493.34,14200.92
T095162,2025-01-01,P0354,Electronics,11968.66,0.81,11468.29,0,10,119686.6,47625.7
T000577,2025-01-01,P0141,Sports,8354.05,6.58,9193.49,0,8,66832.4,21194.56
T000882,2025-01-01,P0338,Fashion,679.52,2.1,641.52,0,2,1359.04,341.08
T054890,2025-01-01,P0412,Sports,17845.85,2.27,17722.99,0,10,178458.5,90653.8
T020232,2025-01-01,P0293,Fashion,13821.79,0.26,13019.3,0,16,221148.64,105077.76
T020235,2025-01-01,P0036,Fashion,7959.81,5.94,8431.81,1,10,79598.1,18394.7
T097112,2025-01-01,P0033,Electronics,6561.02,22.86,8012.37,1,17,111537.34,7367.12
T074919,2025-01-01,P0367,Sports,11415.64,2.68,10934.59,0,12,136987.68,31698.0
T089157,2025-01-01,P0210,Electronics,7970.27,10.28,9095.89,1,8,63762.16,18546.48
T063272,2025-01-01,P0306,Sports,8775.62,3.95,8963.74,0,6,52653.72,13856.64
T054933,2025-01-01,P0248,Sports,12435.53,5.03,12966.4,0,12,149226.36,47488.08
T049167,2025-01-01,P0236,Fashion,7484.95,15.46,9435.72,1,12,89819.4,9872.88
T019620,2025-01-01,P0211,Beauty,7374.78,2.97,8196.81,0,6,44248.68,14988.54
T008971,2025-01-01,P0337,Sports,8788.54,7.55,9241.49,0,12,105462.48,27400.68
T011258,2025-01-01,P0397,Sports,7551.27,4.96,7171.39,0,11,83063.97,41303.79
T068321,2025-01-01,P0354,Electronics,11308.06,6.28,11219.67,0,17,192237.02,69733.49
T074612,2025-01-01,P0402,Sports,11856.93,0.73,11176.83,0,11,130426.23,48328.61
T063898,2025-01-01,P0244,Home & Kitchen,5187.5,8.68,6108.49,1,5,25937.5,4898.0
T075673,2025-01-01,P0385,Fashion,24355.66,0.71,25249.51,0,21,511468.86,265005.3
T018806,2025-01-01,P0446,Sports,1198.24,6.84,1396.4,1,2,2396.48,1108.64
T014740,2025-01-01,P0309,Fashion,18042.79,5.79,17709.33,0,20,360855.8,158308.2
T046224,2025-01-01,P0360,Beauty,8357.25,5.99,9199.51,0,14,117001.5,48011.18
T068755,2025-01-01,P0049,Beauty,17603.1,1.94,18762.62,0,20,352062.0,165668.8
T004695,2025-01-01,P0196,Home & Kitchen,9507.38,3.11,10021.46,0,19,180640.22,59730.87
T049148,2025-01-01,P0170,Beauty,7237.0,2.18,7688.56,0,6,43422.0,14129.58
T083717,2025-01-01,P0264,Beauty,7434.83,1.0,7528.46,0,13,96652.79,43102.28
T054747,2025-01-01,P0167,Home & Kitchen,18034.21,0.31,16661.33,0,11,198376.31,77915.64
T019569,2025-01-01,P0056,Sports,1688.7,0.58,1839.35,0,5,8443.5,2950.9
T063873,2025-01-01,P0228,Home & Kitchen,15891.85,6.28,16672.71,0,13,206594.05,66643.59
T097683,2025-01-01,P0281,Sports,15486.49,0.58,14779.61,0,12,185837.88,49237.2
T074553,2025-01-01,P0410,Electronics,3464.57,18.47,4025.87,1,10,34645.7,12457.8
T020971,2025-01-01,P0032,Electronics,18362.28,0.33,19917.0,0,11,201985.08,93787.54
T049868,2025-01-01,P0499,Sports,16674.6,6.47,17733.16,0,13,216769.8,93959.45
T026532,2025-01-01,P0259,Beauty,10217.46,5.15,11597.38,0,10,102174.6,34101.3
T027502,2025-01-01,P0095,Fashion,23205.19,0.55,24122.03,0,10,232051.9,116945.9
T046221,2025-01-01,P0159,Electronics,15617.48,3.27,17262.81,0,9,140557.32,60749.1
T013274,2025-01-01,P0117,Fashion,7134.41,2.05,7201.25,0,7,49940.87,13298.53
T058231,2025-01-01,P0135,Sports,15080.27,2.55,16708.59,0,10,150802.7,70389.0
T031888,2025-01-01,P0147,Beauty,1962.8,0.06,2118.55,0,1,1962.8,843.45
T091732,2025-01-01,P0153,Electronics,12887.27,4.62,13284.68,0,20,257745.4,115848.2
T028148,2025-01-01,P0067,Electronics,5094.86,22.47,6632.34,1,22,112086.92,36011.8
T026402,2025-01-01,P0354,Electronics,12047.26,0.16,12937.69,0,9,108425.34,43570.53
T063719,2025-01-01,P0034,Sports,1280.13,16.4,1663.45,1,14,17921.82,2718.52
T020755,2025-01-01,P0424,Beauty,674.58,7.94,689.81,0,6,4047.48,783.0
T054824,2025-01-01,P0185,Home & Kitchen,4360.05,5.55,4889.28,0,7,30520.35,9536.73
T079993,2025-01-01,P0356,Fashion,13239.03,18.63,15102.37,1,23,304497.69,32708.76
T096994,2025-01-01,P0069,Electronics,2898.18,18.64,3915.75,1,8,23185.44,5620.96
T018708,2025-01-01,P0044,Sports,10917.67,2.81,11668.46,0,10,109176.7,32104.2
T082031,2025-01-01,P0412,Sports,16934.18,7.26,19440.7,0,13,220144.34,105998.23
T061154,2025-01-01,P0259,Beauty,9985.8,7.3,9802.44,0,10,99858.0,31784.7
T035615,2025-01-01,P0423,Electronics,3412.23,5.82,3523.49,0,5,17061.15,6103.3
T003968,2025-01-01,P0328,Beauty,13214.31,20.7,16792.4,1,30,396429.3,136491.0
T057520,2025-01-01,P0378,Electronics,1736.96,4.08,1951.66,0,3,5210.88,1769.07
T014452,2025-01-01,P0097,Beauty,9879.03,5.37,9719.26,0,11,108669.33,23136.52
T013351,2025-01-01,P0213,Fashion,9342.52,2.44,9647.27,0,6,56055.12,20792.4
T001493,2025-01-01,P0106,Electronics,13112.02,4.83,15081.11,0,21,275352.42,104453.79
T027545,2025-01-02,P0391,Sports,20777.56,5.93,23781.26,0,22,457106.32,205577.46
T077810,2025-01-02,P0070,Sports,19620.44,4.08,18503.21,0,13,255065.72,123169.02
T079424,2025-01-02,P0381,Electronics,2357.42,7.12,2349.63,0,3,7072.26,3276.21
T033784,2025-01-02,P0469,Electronics,9357.85,1.97,10084.97,0,10,93578.5,43191.1
T098485,2025-01-02,P0381,Electronics,2315.72,8.77,2547.85,1,4,9262.88,4201.48
T051340,2025-01-02,P0466,Home & Kitchen,1511.56,1.08,1458.03,0,4,6046.24,1610.84
T078758,2025-01-02,P0128,Sports,19950.05,3.96,21491.44,0,17,339150.85,158024.69
T072555,2025-01-02,P0186,Fashion,19456.83,0.2,18611.54,0,15,291852.45,141574.65
T037148,2025-01-02,P0022,Electronics,10389.01,0.16,10425.71,0,8,83112.08,43033.36
T016801,2025-01-02,P0341,Beauty,18021.15,5.84,20072.15,0,25,450528.75,176316.75
T070904,2025-01-02,P0234,Beauty,9813.32,3.57,10979.45,0,10,98133.2,28288.9
T078709,2025-01-02,P0037,Home & Kitchen,11683.47,7.62,11929.03,0,14,163568.58,41399.4
T084207,2025-01-02,P0243,Sports,2639.16,6.99,2927.5,0,6,15834.96,2774.88
T051121,2025-01-02,P0344,Home & Kitchen,9462.21,6.64,10002.67,0,17,160857.57,63846.39
T095496,2025-01-02,P0287,Beauty,2055.34,3.61,2245.67,0,3,6166.02,2644.26
T044760,2025-01-02,P0441,Electronics,14700.76,5.26,14748.46,0,16,235212.16,86694.24
T027349,2025-01-02,P0130,Beauty,6854.17,7.34,7063.6,0,11,75395.87,15334.99
T035046,2025-01-02,P0297,Fashion,8792.98,5.21,8653.35,0,7,61550.86,28997.71
T095476,2025-01-02,P0323,Fashion,5575.1,4.31,5639.84,0,10,55751.0,15224.1
T094256,2025-01-02,P0109,Electronics,22780.35,5.6,22460.01,0,19,432826.65,204970.29
T035157,2025-01-02,P0498,Electronics,7864.32,4.55,7752.0,0,8,62914.56,10577.84
T024872,2025-01-02,P0227,Sports,2429.12,7.08,2835.91,0,3,7287.36,2544.99
T069812,2025-01-02,P0482,Fashion,5828.4,5.14,5839.87,0,2,11656.8,5510.34
T094525,2025-01-02,P0345,Home & Kitchen,467.89,2.42,436.12,0,4,1871.56,613.92
T070873,2025-01-02,P0422,Fashion,1012.3,7.96,1200.14,0,2,2024.6,402.92
T065305,2025-01-02,P0302,Beauty,9039.22,11.28,10178.38,1,14,126549.08,45602.34
T034142,2025-01-02,P0293,Fashion,13424.9,3.12,13040.86,0,20,268498.0,123409.4
