date,day_of_week,month,quarter,is_weekend,season
2025-09-26,Friday,9,3,0,Autumn
2025-09-27,Saturday,9,3,1,Autumn
2025-09-28,Sunday,9,3,1,Autumn
2025-09-29,Monday,9,3,0,Autumn
2025-09-30,Tuesday,9,3,0,Autumn
2025-10-01,Wednesday,10,4,0,Autumn
2025-10-02,Thursday,10,4,0,Autumn
2025-10-03,Friday,10,4,0,Autumn
2025-10-04,Saturday,10,4,1,Autumn
2025-10-05,Sunday,10,4,1,Autumn
2025-10-06,Monday,10,4,0,Autumn
2025-10-07,Tuesday,10,4,0,Autumn
2025-10-08,Wednesday,10,4,0,Autumn
2025-10-09,Thursday,10,4,0,Autumn
2025-10-10,Friday,10,4,0,Autumn
2025-10-11,Saturday,10,4,1,Autumn
2025-10-12,Sunday,10,4,1,Autumn
2025-10-13,Monday,10,4,0,Autumn
2025-10-14,Tuesday,10,4,0,Autumn
2025-10-15,Wednesday,10,4,0,Autumn
2025-10-16,Thursday,10,4,0,Autumn
2025-10-17,Friday,10,4,0,Autumn
2025-10-18,Saturday,10,4,1,Autumn
2025-10-19,Sunday,10,4,1,Autumn
2025-10-20,Monday,10,4,0,Autumn
2025-10-21,Tuesday,10,4,0,Autumn
2025-10-22,Wednesday,10,4,0,Autumn
2025-10-23,Thursday,10,4,0,Autumn
2025-10-24,Friday,10,4,0,Autumn
2025-10-25,Saturday,10,4,1,Autumn
2025-10-26,Sunday,10,4,1,Autumn
2025-10-27,Monday,10,4,0,Autumn
2025-10-28,Tuesday,10,4,0,Autumn
2025-10-29,Wednesday,10,4,0,Autumn
2025-10-30,Thursday,10,4,0,Autumn
2025-10-31,Friday,10,4,0,Autumn
2025-11-01,Saturday,11,4,1,Autumn
2025-11-02,Sunday,11,4,1,Autumn
2025-11-03,Monday,11,4,0,Autumn
2025-11-04,Tuesday,11,4,0,Autumn
2025-11-05,Wednesday,11,4,0,Autumn
2025-11-06,Thursday,11,4,0,Autumn
2025-11-07,Friday,11,4,0,Autumn
2025-11-08,Saturday,11,4,1,Autumn
2025-11-09,Sunday,11,4,1,Autumn
2025-11-10,Monday,11,4,0,Autumn
2025-11-11,Tuesday,11,4,0,Autumn
2025-11-12,Wednesday,11,4,0,Autumn
2025-11-13,Thursday,11,4,0,Autumn
2025-11-14,Friday,11,4,0,Autumn
2025-11-15,Saturday,11,4,1,Autumn
2025-11-16,Sunday,11,4,1,Autumn
2025-11-17,Monday,11,4,0,Autumn
2025-11-18,Tuesday,11,4,0,Autumn
2025-11-19,Wednesday,11,4,0,Autumn
2025-11-20,Thursday,11,4,0,Autumn
2025-11-21,Friday,11,4,0,Autumn
2025-11-22,Saturday,11,4,1,Autumn
2025-11-23,Sunday,11,4,1,Autumn
2025-11-24,Monday,11,4,0,Autumn
2025-11-25,Tuesday,11,4,0,Autumn
2025-11-26,Wednesday,11,4,0,Autumn
2025-11-27,Thursday,11,4,0,Autumn
2025-11-28,Friday,11,4,0,Autumn
2025-11-29,Saturday,11,4,1,Autumn
2025-11-30,Sunday,11,4,1,Autumn
2025-12-01,Monday,12,4,0,Winter
2025-12-02,Tuesday,12,4,0,Winter
2025-12-03,Wednesday,12,4,0,Winter
2025-12-04,Thursday,12,4,0,Winter
2025-12-05,Friday,12,4,0,Winter
2025-12-06,Saturday,12,4,1,Winter
2025-12-07,Sunday,12,4,1,Winter
2025-12-08,Monday,12,4,0,Winter
2025-12-09,Tuesday,12,4,0,Winter
2025-12-10,Wednesday,12,4,0,Winter
2025-12-11,Thursday,12,4,0,Winter
2025-12-12,Friday,12,4,0,Winter
2025-12-13,Saturday,12,4,1,Winter
2025-12-14,Sunday,12,4,1,Winter
2025-12-15,Monday,12,4,0,Winter
2025-12-16,Tuesday,12,4,0,Winter
2025-12-17,Wednesday,12,4,0,Winter
2025-12-18,Thursday,12,4,0,Winter
2025-12-19,Friday,12,4,0,Winter
2025-12-20,Saturday,12,4,1,Winter
2025-12-21,Sunday,12,4,1,Winter
2025-12-22,Monday,12,4,0,Winter
2025-12-23,Tuesday,12,4,0,Winter
2025-12-24,Wednesday,12,4,0,Winter
2025-12-25,Thursday,12,4,0,Winter
2025-12-26,Friday,12,4,0,Winter
2025-12-27,Saturday,12,4,1,Winter
2025-12-28,Sunday,12,4,1,Winter
2025-12-29,Monday,12,4,0,Winter
2025-12-30,Tuesday,12,4,0,Winter
2025-12-31,Wednesday,12,4,0,Winter
