promotion_id,date,promotion_type,promotion_discount_pct
PR0209,2025-07-28,Weekend Sale,28.9
PR0210,2025-07-29,None,0.0
PR0211,2025-07-30,None,0.0
PR0212,2025-07-31,None,0.0
PR0213,2025-08-01,None,0.0
PR0214,2025-08-02,Flash Sale,16.4
PR0215,2025-08-03,None,0.0
PR0216,2025-08-04,Weekend Sale,19.9
PR0217,2025-08-05,Festival Sale,18.8
PR0218,2025-08-06,None,0.0
PR0219,2025-08-07,None,0.0
PR0220,2025-08-08,None,0.0
PR0221,2025-08-09,None,0.0
PR0222,2025-08-10,None,0.0
PR0223,2025-08-11,None,0.0
PR0224,2025-08-12,None,0.0
PR0225,2025-08-13,Festival Sale,13.5
PR0226,2025-08-14,None,0.0
PR0227,2025-08-15,Flash Sale,12.8
PR0228,2025-08-16,None,0.0
PR0229,2025-08-17,None,0.0
PR0230,2025-08-18,None,0.0
PR0231,2025-08-19,None,0.0
PR0232,2025-08-20,None,0.0
PR0233,2025-08-21,None,0.0
PR0234,2025-08-22,None,0.0
PR0235,2025-08-23,None,0.0
PR0236,2025-08-24,Clearance,13.1
PR0237,2025-08-25,None,0.0
PR0238,2025-08-26,None,0.0
PR0239,2025-08-27,None,0.0
PR0240,2025-08-28,None,0.0
PR0241,2025-08-29,Weekend Sale,18.1
PR0242,2025-08-30,None,0.0
PR0243,2025-08-31,Clearance,30.0
PR0244,2025-09-01,None,0.0
PR0245,2025-09-02,Festival Sale,29.0
PR0246,2025-09-03,None,0.0
PR0247,2025-09-04,None,0.0
PR0248,2025-09-05,None,0.0
PR0249,2025-09-06,None,0.0
PR0250,2025-09-07,None,0.0
PR0251,2025-09-08,None,0.0
PR0252,2025-09-09,Festival Sale,8.4
PR0253,2025-09-10,Festival Sale,21.9
PR0254,2025-09-11,None,0.0
PR0255,2025-09-12,None,0.0
PR0256,2025-09-13,Weekend Sale,9.8
PR0257,2025-09-14,Festival Sale,27.6
PR0258,2025-09-15,Clearance,25.8
PR0259,2025-09-16,Flash Sale,9.9
PR0260,2025-09-17,None,0.0
PR0261,2025-09-18,None,0.0
PR0262,2025-09-19,Weekend Sale,15.0
PR0263,2025-09-20,Weekend Sale,7.8
PR0264,2025-09-21,None,0.0
PR0265,2025-09-22,Clearance,25.9
PR0266,2025-09-23,Flash Sale,24.4
PR0267,2025-09-24,None,0.0
PR0268,2025-09-25,None,0.0
PR0269,2025-09-26,None,0.0
PR0270,2025-09-27,None,0.0
PR0271,2025-09-28,Flash Sale,22.1
PR0272,2025-09-29,Festival Sale,15.7
PR0273,2025-09-30,Weekend Sale,11.4
PR0274,2025-10-01,None,0.0
PR0275,2025-10-02,None,0.0
PR0276,2025-10-03,Flash Sale,18.7
PR0277,2025-10-04,Clearance,9.4
PR0278,2025-10-05,None,0.0
PR0279,2025-10-06,None,0.0
PR0280,2025-10-07,Clearance,23.9
PR0281,2025-10-08,None,0.0
PR0282,2025-10-09,None,0.0
PR0283,2025-10-10,Flash Sale,21.8
PR0284,2025-10-11,Festival Sale,10.8
PR0285,2025-10-12,None,0.0
PR0286,2025-10-13,Festival Sale,25.9
PR0287,2025-10-14,Weekend Sale,15.4
PR0288,2025-10-15,Clearance,5.6
PR0289,2025-10-16,Flash Sale,21.8
PR0290,2025-10-17,Weekend Sale,8.4
PR0291,2025-10-18,Flash Sale,17.3
PR0292,2025-10-19,Flash Sale,7.2
PR0293,2025-10-20,None,0.0
PR0294,2025-10-21,None,0.0
PR0295,2025-10-22,Flash Sale,25.8
PR0296,2025-10-23,Clearance,17.7
PR0297,2025-10-24,None,0.0
PR0298,2025-10-25,None,0.0
PR0299,2025-10-26,Festival Sale,18.9
PR0300,2025-10-27,Festival Sale,10.1
PR0301,2025-10-28,None,0.0
PR0302,2025-10-29,None,0.0
PR0303,2025-10-30,None,0.0
PR0304,2025-10-31,None,0.0
PR0305,2025-11-01,Weekend Sale,19.3
PR0306,2025-11-02,Festival Sale,19.3
PR0307,2025-11-03,Clearance,29.7
PR0308,2025-11-04,None,0.0
PR0309,2025-11-05,None,0.0
PR0310,2025-11-06,None,0.0
PR0311,2025-11-07,Festival Sale,16.0
PR0312,2025-11-08,Weekend Sale,6.5
PR0313,2025-11-09,None,0.0
PR0314,2025-11-10,None,0.0
PR0315,2025-11-11,Flash Sale,16.5
PR0316,2025-11-12,None,0.0
PR0317,2025-11-13,None,0.0
PR0318,2025-11-14,Weekend Sale,10.2
PR0319,2025-11-15,Festival Sale,21.3
PR0320,2025-11-16,None,0.0
PR0321,2025-11-17,None,0.0
PR0322,2025-11-18,Clearance,7.0
PR0323,2025-11-19,None,0.0
PR0324,2025-11-20,Weekend Sale,5.1
PR0325,2025-11-21,None,0.0
PR0326,2025-11-22,Weekend Sale,16.5
PR0327,2025-11-23,None,0.0
PR0328,2025-11-24,Weekend Sale,26.6
PR0329,2025-11-25,None,0.0
PR0330,2025-11-26,None,0.0
PR0331,2025-11-27,None,0.0
PR0332,2025-11-28,Flash Sale,18.4
PR0333,2025-11-29,None,0.0
PR0334,2025-11-30,Flash Sale,5.1
PR0335,2025-12-01,Weekend Sale,14.6
PR0336,2025-12-02,None,0.0
PR0337,2025-12-03,None,0.0
PR0338,2025-12-04,Clearance,12.2
PR0339,2025-12-05,Weekend Sale,29.1
PR0340,2025-12-06,None,0.0
PR0341,2025-12-07,Festival Sale,13.2
PR0342,2025-12-08,Clearance,6.3
PR0343,2025-12-09,Festival Sale,19.1
PR0344,2025-12-10,None,0.0
PR0345,2025-12-11,Clearance,11.6
PR0346,2025-12-12,None,0.0
PR0347,2025-12-13,Clearance,18.7
PR0348,2025-12-14,None,0.0
PR0349,2025-12-15,None,0.0
PR0350,2025-12-16,None,0.0
PR0351,2025-12-17,None,0.0
PR0352,2025-12-18,Clearance,26.6
PR0353,2025-12-19,Clearance,18.9
PR0354,2025-12-20,Festival Sale,21.9
PR0355,2025-12-21,Flash Sale,17.2
PR0356,2025-12-22,Flash Sale,13.0
PR0357,2025-12-23,None,0.0
PR0358,2025-12-24,None,0.0
PR0359,2025-12-25,None,0.0
PR0360,2025-12-26,None,0.0
PR0361,2025-12-27,Weekend Sale,7.2
PR0362,2025-12-28,Clearance,14.1
PR0363,2025-12-29,None,0.0
PR0364,2025-12-30,None,0.0
PR0365,2025-12-31,None,0.0
