product_id,date,opening_inventory,units_sold_estimate,closing_inventory,reorder_point,inventory_status
P0026,2025-01-01,1094,388,779,219,Normal
P0026,2025-02-01,517,255,284,103,Normal
P0026,2025-03-01,988,377,1041,198,High
P0026,2025-04-01,1187,761,709,237,Normal
P0026,2025-05-01,1140,419,1155,228,High
P0026,2025-06-01,159,64,396,32,High
P0026,2025-07-01,820,426,470,164,Normal
P0026,2025-08-01,1030,437,672,206,Normal
P0026,2025-09-01,720,255,515,144,Normal
P0026,2025-10-01,787,242,590,157,Normal
P0026,2025-11-01,181,100,467,36,High
P0026,2025-12-01,258,102,460,52,High
P0027,2025-01-01,1296,637,968,259,Normal
P0027,2025-02-01,1391,588,994,278,Normal
P0027,2025-03-01,185,67,316,37,High
P0027,2025-04-01,586,201,674,117,High
P0027,2025-05-01,948,384,1055,190,High
P0027,2025-06-01,1062,610,461,212,Normal
P0027,2025-07-01,726,375,769,145,High
P0027,2025-08-01,1331,379,1334,266,High
P0027,2025-09-01,1385,381,1374,277,High
P0027,2025-10-01,1106,581,828,221,Normal
P0027,2025-11-01,817,222,683,163,High
P0027,2025-12-01,646,354,353,129,Normal
P0028,2025-01-01,615,210,507,123,High
P0028,2025-02-01,351,145,386,70,High
P0028,2025-03-01,1418,829,727,284,Normal
P0028,2025-04-01,1255,387,966,251,High
P0028,2025-05-01,799,338,725,160,High
P0028,2025-06-01,162,70,540,32,High
P0028,2025-07-01,424,233,441,85,High
P0028,2025-08-01,339,149,348,68,High
P0028,2025-09-01,348,170,461,70,High
P0028,2025-10-01,365,172,414,73,High
P0028,2025-11-01,605,253,584,121,High
P0028,2025-12-01,728,348,404,146,Normal
P0029,2025-01-01,1052,433,843,210,High
P0029,2025-02-01,1128,293,897,226,High
P0029,2025-03-01,794,275,920,159,High
P0029,2025-04-01,1221,344,890,244,Normal
P0029,2025-05-01,1144,728,844,229,Normal
P0029,2025-06-01,480,135,699,96,High
P0029,2025-07-01,837,322,1006,167,High
P0029,2025-08-01,1157,652,758,231,Normal
P0029,2025-09-01,738,379,656,148,High
P0029,2025-10-01,936,487,502,187,Normal
P0029,2025-11-01,658,208,500,132,High
P0029,2025-12-01,811,324,921,162,High
P0030,2025-01-01,1428,815,684,286,Normal
P0030,2025-02-01,570,226,619,114,High
P0030,2025-03-01,342,202,561,68,High
P0030,2025-04-01,404,208,378,81,High
P0030,2025-05-01,721,397,369,144,Normal
P0030,2025-06-01,1467,924,966,293,Normal
P0030,2025-07-01,333,200,600,67,High
P0030,2025-08-01,795,219,956,159,High
P0030,2025-09-01,1306,544,1029,261,High
P0030,2025-10-01,562,152,601,112,High
P0030,2025-11-01,681,303,644,136,High
P0030,2025-12-01,752,324,485,150,Normal
P0031,2025-01-01,811,400,571,162,Normal
P0031,2025-02-01,570,206,464,114,High
P0031,2025-03-01,285,149,279,57,High
P0031,2025-04-01,1266,572,1089,253,High
P0031,2025-05-01,412,216,198,82,Normal
P0031,2025-06-01,1018,596,874,204,High
P0031,2025-07-01,274,82,357,55,High
P0031,2025-08-01,273,140,594,55,High
P0031,2025-09-01,422,148,518,84,High
P0031,2025-10-01,1490,380,1329,298,High
P0031,2025-11-01,741,420,775,148,High
P0031,2025-12-01,310,127,576,62,High
P0032,2025-01-01,940,312,755,188,High
P0032,2025-02-01,227,89,457,45,High
P0032,2025-03-01,567,153,417,113,Normal
P0032,2025-04-01,1285,523,883,257,Normal
P0032,2025-05-01,1434,925,802,287,Normal
P0032,2025-06-01,593,327,701,119,High
P0032,2025-07-01,420,149,406,84,High
P0032,2025-08-01,284,153,327,57,High
P0032,2025-09-01,327,87,384,65,High
P0032,2025-10-01,678,245,572,136,High
P0032,2025-11-01,1260,799,817,252,Normal
P0032,2025-12-01,203,84,190,41,High
P0033,2025-01-01,860,274,698,172,High
P0033,2025-02-01,177,110,436,35,High
P0033,2025-03-01,786,250,570,157,Normal
P0033,2025-04-01,1095,645,579,219,Normal
P0033,2025-05-01,167,88,474,33,High
P0033,2025-06-01,1161,699,737,232,Normal
P0033,2025-07-01,1465,680,1205,293,High
P0033,2025-08-01,756,339,477,151,Normal
P0033,2025-09-01,807,333,733,161,High
P0033,2025-10-01,636,260,636,127,High
P0033,2025-11-01,1011,593,578,202,Normal
P0033,2025-12-01,1170,627,687,234,Normal
P0034,2025-01-01,405,174,612,81,High
P0034,2025-02-01,724,302,766,145,High
P0034,2025-03-01,512,188,390,102,High
P0034,2025-04-01,1328,638,991,266,Normal
P0034,2025-05-01,559,297,538,112,High
P0034,2025-06-01,789,239,598,158,High
P0034,2025-07-01,482,132,823,96,High
P0034,2025-08-01,219,129,288,44,High
P0034,2025-09-01,1143,449,1137,229,High
P0034,2025-10-01,314,113,266,63,High
P0034,2025-11-01,466,147,406,93,High
P0034,2025-12-01,484,247,480,97,High
P0035,2025-01-01,630,308,689,126,High
P0035,2025-02-01,1345,843,924,269,Normal
P0035,2025-03-01,1294,773,589,259,Normal
P0035,2025-04-01,1205,359,899,241,Normal
P0035,2025-05-01,1054,425,929,211,High
P0035,2025-06-01,450,182,580,90,High
P0035,2025-07-01,1374,696,1176,275,High
P0035,2025-08-01,1283,827,565,257,Normal
P0035,2025-09-01,769,261,543,154,Normal
P0035,2025-10-01,598,221,698,120,High
P0035,2025-11-01,1109,451,1026,222,High
P0035,2025-12-01,450,195,474,90,High
P0036,2025-01-01,353,178,638,71,High
P0036,2025-02-01,809,251,561,162,Normal
P0036,2025-03-01,1050,591,737,210,Normal
P0036,2025-04-01,596,190,858,119,High
P0036,2025-05-01,886,309,962,177,High
P0036,2025-06-01,1340,494,958,268,Normal
P0036,2025-07-01,415,170,602,83,High
P0036,2025-08-01,1228,476,895,246,Normal
P0036,2025-09-01,1037,550,807,207,High
P0036,2025-10-01,497,307,577,99,High
P0036,2025-11-01,896,487,601,179,Normal
P0036,2025-12-01,1478,892,1005,296,Normal
P0037,2025-01-01,502,238,283,100,Normal
P0037,2025-02-01,1389,483,1147,278,High
P0037,2025-03-01,877,530,581,175,Normal
P0037,2025-04-01,259,144,245,52,High
P0037,2025-05-01,283,92,346,57,High
P0037,2025-06-01,266,171,243,53,High
P0037,2025-07-01,654,250,654,131,High
P0037,2025-08-01,658,361,710,132,High
P0037,2025-09-01,1275,673,760,255,Normal
P0037,2025-10-01,571,307,337,114,Normal
P0037,2025-11-01,345,122,486,69,High
P0037,2025-12-01,1215,508,1185,243,High
P0038,2025-01-01,438,194,655,88,High
P0038,2025-02-01,653,381,292,131,Normal
P0038,2025-03-01,1278,774,729,256,Normal
P0038,2025-04-01,1297,392,1057,259,High
P0038,2025-05-01,1168,640,560,234,Normal
P0038,2025-06-01,637,299,780,127,High
P0038,2025-07-01,1092,435,868,218,High
P0038,2025-08-01,1215,401,975,243,High
P0038,2025-09-01,275,131,589,55,High
P0038,2025-10-01,543,328,335,109,Normal
P0038,2025-11-01,405,170,662,81,High
P0038,2025-12-01,1169,673,977,234,High
P0039,2025-01-01,201,83,213,40,High
P0039,2025-02-01,606,349,591,121,High
P0039,2025-03-01,1345,451,920,269,Normal
P0039,2025-04-01,771,449,474,154,Normal
P0039,2025-05-01,716,205,900,143,High
P0039,2025-06-01,430,274,294,86,Normal
P0039,2025-07-01,1092,399,1177,218,High
P0039,2025-08-01,204,92,377,41,High
P0039,2025-09-01,881,566,462,176,Normal
P0039,2025-10-01,367,185,371,73,High
P0039,2025-11-01,237,139,426,47,High
P0039,2025-12-01,294,116,249,59,High
P0040,2025-01-01,482,284,321,96,Normal
P0040,2025-02-01,224,114,553,45,High
P0040,2025-03-01,611,299,726,122,High
P0040,2025-04-01,1213,499,750,243,Normal
P0040,2025-05-01,785,234,664,157,High
P0040,2025-06-01,656,306,434,131,Normal
P0040,2025-07-01,1225,587,963,245,High
P0040,2025-08-01,479,140,484,96,High
P0040,2025-09-01,1274,542,804,255,Normal
P0040,2025-10-01,1356,838,960,271,Normal
P0040,2025-11-01,1470,576,1096,294,Normal
P0040,2025-12-01,883,572,607,177,Normal
P0041,2025-01-01,1286,818,515,257,Normal
P0041,2025-02-01,1490,829,798,298,Normal
P0041,2025-03-01,358,186,505,72,High
P0041,2025-04-01,1348,672,934,270,Normal
P0041,2025-05-01,551,264,627,110,High
P0041,2025-06-01,1006,504,848,201,High
P0041,2025-07-01,1493,806,1185,299,High
P0041,2025-08-01,1135,627,778,227,Normal
P0041,2025-09-01,257,142,281,51,High
P0041,2025-10-01,284,108,237,57,High
P0041,2025-11-01,1325,574,1164,265,High
P0041,2025-12-01,370,99,300,74,High
P0042,2025-01-01,957,595,639,191,Normal
P0042,2025-02-01,1095,575,564,219,Normal
P0042,2025-03-01,809,499,345,162,Normal
P0042,2025-04-01,907,447,914,181,High
P0042,2025-05-01,569,365,385,114,Normal
P0042,2025-06-01,882,343,869,176,High
P0042,2025-07-01,1228,754,576,246,Normal
P0042,2025-08-01,326,126,497,65,High
P0042,2025-09-01,336,203,463,67,High
P0042,2025-10-01,1462,690,1105,292,High
P0042,2025-11-01,702,369,721,140,High
P0042,2025-12-01,933,354,936,187,High
P0043,2025-01-01,377,136,736,75,High
P0043,2025-02-01,833,345,595,167,Normal
P0043,2025-03-01,453,139,545,91,High
P0043,2025-04-01,371,161,430,74,High
P0043,2025-05-01,246,124,244,49,High
P0043,2025-06-01,389,175,650,78,High
P0043,2025-07-01,251,120,574,50,High
P0043,2025-08-01,1306,511,1221,261,High
P0043,2025-09-01,929,481,550,186,Normal
P0043,2025-10-01,879,567,628,176,Normal
P0043,2025-11-01,293,171,362,59,High
P0043,2025-12-01,284,132,189,57,Normal
P0044,2025-01-01,457,263,248,91,Normal
P0044,2025-02-01,1360,757,1009,272,Normal
P0044,2025-03-01,213,61,587,43,High
P0044,2025-04-01,1025,402,745,205,Normal
P0044,2025-05-01,1288,557,1081,258,High
P0044,2025-06-01,1298,837,586,260,Normal
P0044,2025-07-01,696,227,763,139,High
P0044,2025-08-01,634,252,733,127,High
P0044,2025-09-01,1246,537,1026,249,High
P0044,2025-10-01,756,453,447,151,Normal
P0044,2025-11-01,898,267,983,180,High
P0044,2025-12-01,220,106,606,44,High
P0045,2025-01-01,546,306,521,109,High
P0045,2025-02-01,1423,746,1078,285,High
P0045,2025-03-01,1098,495,798,220,Normal
P0045,2025-04-01,1496,419,1475,299,High
P0045,2025-05-01,1279,374,1164,256,High
P0045,2025-06-01,318,134,496,64,High
P0045,2025-07-01,1006,522,536,201,Normal
P0045,2025-08-01,867,455,481,173,Normal
P0045,2025-09-01,910,396,955,182,High
P0045,2025-10-01,1431,885,713,286,Normal
P0045,2025-11-01,1269,352,1325,254,High
P0045,2025-12-01,386,190,403,77,High
P0046,2025-01-01,289,75,528,58,High
P0046,2025-02-01,818,473,618,164,High
P0046,2025-03-01,1392,651,1225,278,High
P0046,2025-04-01,1179,432,1045,236,High
P0046,2025-05-01,487,199,715,97,High
P0046,2025-06-01,1092,601,579,218,Normal
P0046,2025-07-01,182,98,174,36,High
P0046,2025-08-01,884,499,796,177,High
P0046,2025-09-01,803,364,797,161,High
P0046,2025-10-01,207,66,156,41,High
P0046,2025-11-01,650,234,878,130,High
P0046,2025-12-01,287,102,640,57,High
P0047,2025-01-01,226,126,294,45,High
P0047,2025-02-01,269,163,136,54,Normal
P0047,2025-03-01,377,213,421,75,High
P0047,2025-04-01,803,521,351,161,Normal
P0047,2025-05-01,1010,362,727,202,Normal
P0047,2025-06-01,836,412,854,167,High
P0047,2025-07-01,156,43,600,31,High
P0047,2025-08-01,1225,515,1183,245,High
P0047,2025-09-01,473,133,409,95,High
P0047,2025-10-01,1427,457,1270,285,High
P0047,2025-11-01,1146,487,678,229,Normal
P0047,2025-12-01,1493,689,841,299,Normal
P0048,2025-01-01,795,491,745,159,High
P0048,2025-02-01,1123,397,836,225,Normal
P0048,2025-03-01,265,167,197,53,Normal
P0048,2025-04-01,727,189,655,145,High
P0048,2025-05-01,880,509,617,176,Normal
P0048,2025-06-01,705,374,404,141,Normal
P0048,2025-07-01,1136,335,822,227,Normal
P0048,2025-08-01,1414,696,1096,283,High
P0048,2025-09-01,1379,664,921,276,Normal
P0048,2025-10-01,584,198,781,117,High
P0048,2025-11-01,407,192,616,81,High
P0048,2025-12-01,896,545,812,179,High
P0049,2025-01-01,1070,540,689,214,Normal
P0049,2025-02-01,1484,744,1222,297,High
P0049,2025-03-01,1358,409,1420,272,High
P0049,2025-04-01,845,519,625,169,Normal
P0049,2025-05-01,1139,488,1133,228,High
P0049,2025-06-01,1420,868,659,284,Normal
P0049,2025-07-01,839,535,312,168,Normal
P0049,2025-08-01,1208,748,636,242,Normal
P0049,2025-09-01,528,226,327,106,Normal
P0049,2025-10-01,226,86,606,45,High
P0049,2025-11-01,776,361,482,155,Normal
P0049,2025-12-01,1286,531,852,257,Normal
P0050,2025-01-01,1342,727,800,268,Normal
P0050,2025-02-01,248,114,443,50,High
P0050,2025-03-01,357,150,214,71,Normal
P0050,2025-04-01,766,278,599,153,High
P0050,2025-05-01,1452,690,1207,290,High
P0050,2025-06-01,1187,729,876,237,Normal
P0050,2025-07-01,631,330,312,126,Normal
P0050,2025-08-01,1150,655,684,230,Normal
P0050,2025-09-01,310,91,625,62,High
P0050,2025-10-01,813,227,641,163,High
P0050,2025-11-01,897,418,698,179,High
P0050,2025-12-01,289,115,414,58,High
P0051,2025-01-01,981,339,716,196,Normal
P0051,2025-02-01,344,88,278,69,High
P0051,2025-03-01,1356,717,678,271,Normal
P0051,2025-04-01,584,377,263,117,Normal
P0051,2025-05-01,1275,542,1223,255,High
P0051,2025-06-01,439,169,707,88,High
P0051,2025-07-01,864,347,713,173,High
P0051,2025-08-01,225,62,498,45,High
P0051,2025-09-01,1008,621,882,202,High
P0051,2025-10-01,787,203,1057,157,High
P0051,2025-11-01,1320,606,1125,264,High
P0051,2025-12-01,898,265,657,180,Normal
P0052,2025-01-01,1295,581,849,259,Normal
P0052,2025-02-01,1298,594,1069,260,High
P0052,2025-03-01,1412,412,1064,282,High
P0052,2025-04-01,177,52,538,35,High
P0052,2025-05-01,707,355,588,141,High
P0052,2025-06-01,1451,480,1462,290,High
P0052,2025-07-01,422,133,558,84,High
P0052,2025-08-01,536,330,592,107,High
P0052,2025-09-01,1142,709,691,228,Normal
P0052,2025-10-01,1025,272,1241,205,High
P0052,2025-11-01,703,340,750,141,High
P0052,2025-12-01,1212,309,1389,242,High
P0053,2025-01-01,1072,502,690,214,Normal
P0053,2025-02-01,1485,914,989,297,Normal
