product_id,product_name,category,base_cost,base_price,min_price,max_price
P0046,Running Shoes 046,Fashion,7007.54,13909.39,7357.92,18777.68
P0047,Water Bottle 047,Home & Kitchen,10105.85,19233.87,10611.14,25965.72
P0048,Perfume 048,Beauty,5031.26,6772.8,5282.82,9143.28
P0049,Moisturizer 049,Beauty,9319.66,17951.38,9785.64,24234.36
P0050,Smartphone 050,Electronics,5237.82,10637.36,5499.71,14360.44
P0051,Cricket Bat 051,Sports,4440.3,7817.23,4662.32,10553.26
P0052,Winter Jacket 052,Fashion,11515.94,23604.73,12091.74,31866.39
P0053,Resistance Bands 053,Sports,2457.14,4798.34,2580.0,6477.76
P0054,Yoga Mat 054,Sports,1356.94,2465.46,1424.79,3328.37
P0055,Face Serum 055,Beauty,9320.54,16223.4,9786.57,21901.59
P0056,Cricket Bat 056,Sports,1098.52,1698.63,1153.45,2293.15
P0057,Bluetooth Speaker 057,Electronics,10093.82,13983.92,10598.51,18878.29
P0058,Bluetooth Speaker 058,Electronics,5415.16,9553.48,5685.92,12897.2
P0059,Smart Watch 059,Electronics,11011.51,16741.84,11562.09,22601.48
P0060,Coffee Maker 060,Home & Kitchen,8741.93,17365.61,9179.03,23443.57
P0061,Coffee Maker 061,Home & Kitchen,7441.73,15585.49,7813.82,21040.41
P0062,Air Fryer 062,Home & Kitchen,11406.89,21554.04,11977.23,29097.95
P0063,Denim Jacket 063,Fashion,4940.8,6555.99,5187.84,8850.59
P0064,Air Fryer 064,Home & Kitchen,11462.82,17141.3,12035.96,23140.76
P0065,Air Fryer 065,Home & Kitchen,1879.51,2523.7,1973.49,3407.0
P0066,Moisturizer 066,Beauty,5959.93,10745.37,6257.93,14506.25
P0067,Wireless Mouse 067,Electronics,3457.96,6571.55,3630.86,8871.59
P0068,Backpack 068,Fashion,6616.16,13475.95,6946.97,18192.53
P0069,Smartphone 069,Electronics,2195.56,3562.18,2305.34,4808.94
P0070,Football 070,Sports,10145.9,20455.85,10653.2,27615.4
P0071,Winter Jacket 071,Fashion,10202.97,20367.25,10713.12,27495.79
P0072,Smart Watch 072,Electronics,11476.26,17439.51,12050.07,23543.34
P0073,Bluetooth Speaker 073,Electronics,2109.66,4195.2,2215.14,5663.52
P0074,Backpack 074,Fashion,7592.99,11915.84,7972.64,16086.38
P0075,Winter Jacket 075,Fashion,5848.58,8786.55,6141.01,11861.84
P0076,Winter Jacket 076,Fashion,4329.29,7800.14,4545.75,10530.19
P0077,Running Shoes 077,Fashion,4413.02,6748.05,4633.67,9109.87
P0078,Bluetooth Speaker 078,Electronics,5129.68,9159.95,5386.16,12365.93
P0079,Air Fryer 079,Home & Kitchen,8547.63,15115.26,8975.01,20405.6
P0080,Wireless Mouse 080,Electronics,7299.95,12621.05,7664.95,17038.42
P0081,Cricket Bat 081,Sports,5678.27,8933.94,5962.18,12060.82
P0082,Hair Dryer 082,Beauty,1188.42,2039.6,1247.84,2753.46
P0083,Air Fryer 083,Home & Kitchen,1209.85,2125.72,1270.34,2869.72
P0084,Smartphone 084,Electronics,327.37,561.06,343.74,757.43
P0085,Air Fryer 085,Home & Kitchen,11622.08,18917.92,12203.18,25539.19
P0086,Air Fryer 086,Home & Kitchen,361.47,456.34,379.54,616.06
P0087,Backpack 087,Fashion,1506.2,2634.35,1581.51,3556.37
P0088,Backpack 088,Fashion,3980.78,5545.93,4179.82,7487.01
P0089,Dumbbell Set 089,Sports,9746.93,17507.33,10234.28,23634.9
P0090,Hair Dryer 090,Beauty,11556.56,21904.8,12134.39,29571.48
P0091,Wireless Headphones 091,Electronics,9543.16,15988.41,10020.32,21584.35
P0092,Winter Jacket 092,Fashion,8379.55,14337.49,8798.53,19355.61
P0093,Denim Jacket 093,Fashion,6399.22,13174.44,6719.18,17785.49
P0094,Moisturizer 094,Beauty,1314.45,2589.59,1380.17,3495.95
P0095,Backpack 095,Fashion,11510.6,23333.15,12086.13,31499.75
P0096,Face Serum 096,Beauty,9173.19,17811.6,9631.85,24045.66
P0097,Perfume 097,Beauty,7775.71,10439.52,8164.5,14093.35
P0098,Water Bottle 098,Home & Kitchen,9180.72,12638.57,9639.76,17062.07
P0099,Smart Watch 099,Electronics,8772.01,14891.63,9210.61,20103.7
P0100,Smartphone 100,Electronics,7755.61,11316.67,8143.39,15277.5
P0101,Wireless Headphones 101,Electronics,11772.75,19486.15,12361.39,26306.3
P0102,Sneakers 102,Fashion,10869.36,17230.22,11412.83,23260.8
P0103,Coffee Maker 103,Home & Kitchen,7865.98,13505.9,8259.28,18232.96
P0104,Hair Dryer 104,Beauty,8410.15,15851.82,8830.66,21399.96
P0105,Football 105,Sports,903.67,1679.17,948.85,2266.88
P0106,Bluetooth Speaker 106,Electronics,8138.03,13778.08,8544.93,18600.41
P0107,Air Fryer 107,Home & Kitchen,816.74,1591.85,857.58,2149.0
P0108,Running Shoes 108,Fashion,7182.69,11608.9,7541.82,15672.02
P0109,Smartphone 109,Electronics,11992.44,24131.27,12592.06,32577.21
P0110,Bluetooth Speaker 110,Electronics,6802.94,8915.85,7143.09,12036.4
P0111,Vacuum Cleaner 111,Home & Kitchen,5836.56,12031.84,6128.39,16242.98
P0112,Wireless Mouse 112,Electronics,3960.4,7154.42,4158.42,9658.47
P0113,Cricket Bat 113,Sports,1710.11,2690.11,1795.62,3631.65
P0114,Backpack 114,Fashion,8852.98,12549.82,9295.63,16942.26
P0115,Winter Jacket 115,Fashion,2553.41,4231.78,2681.08,5712.9
P0116,Cricket Bat 116,Sports,1648.8,2333.67,1731.24,3150.45
P0117,Denim Jacket 117,Fashion,5234.62,7283.36,5496.35,9832.54
P0118,Smart Watch 118,Electronics,9605.5,17047.35,10085.78,23013.92
P0119,Yoga Mat 119,Sports,9017.26,15280.85,9468.12,20629.15
P0120,Sunscreen 120,Beauty,942.13,1714.28,989.24,2314.28
P0121,Backpack 121,Fashion,5625.18,11476.3,5906.44,15493.0
P0122,Cricket Bat 122,Sports,6412.48,10916.74,6733.1,14737.6
P0123,Water Bottle 123,Home & Kitchen,7841.2,13673.42,8233.26,18459.12
P0124,Smartphone 124,Electronics,7906.96,10486.07,8302.31,14156.19
P0125,Bluetooth Speaker 125,Electronics,4566.96,8494.5,4795.31,11467.58
P0126,Air Fryer 126,Home & Kitchen,6859.92,10906.72,7202.92,14724.07
P0127,Backpack 127,Fashion,5928.42,12332.4,6224.84,16648.74
P0128,Cricket Bat 128,Sports,10654.48,20773.02,11187.2,28043.58
P0129,Bluetooth Speaker 129,Electronics,6504.1,11018.65,6829.3,14875.18
P0130,Perfume 130,Beauty,5460.08,7396.98,5733.08,9985.92
P0131,Air Fryer 131,Home & Kitchen,5032.48,9966.84,5284.1,13455.23
P0132,Smart Watch 132,Electronics,6997.4,13503.68,7347.27,18229.97
P0133,Smartphone 133,Electronics,9706.53,13656.09,10191.86,18435.72
P0134,Water Bottle 134,Home & Kitchen,6599.3,9905.46,6929.26,13372.37
P0135,Resistance Bands 135,Sports,8041.37,15474.78,8443.44,20890.95
P0136,Coffee Maker 136,Home & Kitchen,8932.91,12572.57,9379.56,16972.97
P0137,Perfume 137,Beauty,6385.97,12964.09,6705.27,17501.52
P0138,Winter Jacket 138,Fashion,5293.76,8527.44,5558.45,11512.04
P0139,Mixer Grinder 139,Home & Kitchen,10556.98,13977.26,11084.83,18869.3
P0140,Dumbbell Set 140,Sports,5184.82,10076.11,5444.06,13602.75
P0141,Dumbbell Set 141,Sports,5704.73,8942.07,5989.97,12071.79
P0142,Coffee Maker 142,Home & Kitchen,11886.99,20178.45,12481.34,27240.91
P0143,Moisturizer 143,Beauty,302.78,407.38,317.92,549.96
P0144,Water Bottle 144,Home & Kitchen,2470.03,3092.96,2593.53,4175.5
P0145,Vacuum Cleaner 145,Home & Kitchen,4792.38,8589.32,5032.0,11595.58
P0146,Wireless Headphones 146,Electronics,11211.3,18923.54,11771.86,25546.78
P0147,Moisturizer 147,Beauty,1119.35,1963.91,1175.32,2651.28
P0148,Face Serum 148,Beauty,410.98,791.01,431.53,1067.86
P0149,Wireless Headphones 149,Electronics,916.4,1649.17,962.22,2226.38
P0150,Vacuum Cleaner 150,Home & Kitchen,1335.96,1868.42,1402.76,2522.37
P0151,Resistance Bands 151,Sports,739.88,1151.74,776.87,1554.85
P0152,Wireless Headphones 152,Electronics,5913.44,11945.19,6209.11,16126.01
P0153,Smartphone 153,Electronics,7094.86,13511.83,7449.6,18240.97
P0154,Hair Dryer 154,Beauty,3478.74,5994.36,3652.68,8092.39
P0155,Yoga Mat 155,Sports,4959.96,7277.74,5207.96,9824.95
P0156,Wireless Headphones 156,Electronics,1372.88,2068.59,1441.52,2792.6
P0157,Backpack 157,Fashion,4235.53,7929.61,4447.31,10704.97
P0158,Running Shoes 158,Fashion,6413.47,12656.97,6734.14,17086.91
P0159,Smart Watch 159,Electronics,8867.58,16145.3,9310.96,21796.16
P0160,Sneakers 160,Fashion,339.15,657.31,356.11,887.37
P0161,Mixer Grinder 161,Home & Kitchen,5767.54,10967.89,6055.92,14806.65
P0162,Sneakers 162,Fashion,3774.93,5199.02,3963.68,7018.68
P0163,Running Shoes 163,Fashion,10278.02,16551.24,10791.92,22344.17
P0164,Moisturizer 164,Beauty,8671.97,11967.63,9105.57,16156.3
P0165,Wireless Mouse 165,Electronics,7192.57,10428.87,7552.2,14078.97
P0166,Backpack 166,Fashion,3544.01,7048.58,3721.21,9515.58
P0167,Vacuum Cleaner 167,Home & Kitchen,10950.97,18090.54,11498.52,24422.23
P0168,Wireless Mouse 168,Electronics,827.68,1411.24,869.06,1905.17
P0169,Smart Watch 169,Electronics,1580.77,2215.73,1659.81,2991.24
P0170,Perfume 170,Beauty,4882.07,7398.44,5126.17,9987.89
P0171,Sneakers 171,Fashion,1755.92,2538.55,1843.72,3427.04
P0172,Smartphone 172,Electronics,11490.06,16376.3,12064.56,22108.0
P0173,Sunscreen 173,Beauty,9636.48,17271.14,10118.3,23316.04
P0174,Wireless Mouse 174,Electronics,3330.1,4889.76,3496.6,6601.18
P0175,Winter Jacket 175,Fashion,7186.08,12843.06,7545.38,17338.13
P0176,Bluetooth Speaker 176,Electronics,11793.27,15327.55,12382.93,20692.19
P0177,Denim Jacket 177,Fashion,10645.13,14589.24,11177.39,19695.47
P0178,Air Fryer 178,Home & Kitchen,7329.34,10872.04,7695.81,14677.25
P0179,Yoga Mat 179,Sports,10873.57,19110.19,11417.25,25798.76
P0180,Wireless Headphones 180,Electronics,11873.46,21662.71,12467.13,29244.66
P0181,Air Fryer 181,Home & Kitchen,8997.23,14632.28,9447.09,19753.58
P0182,Smart Watch 182,Electronics,1060.34,1727.21,1113.36,2331.73
P0183,Yoga Mat 183,Sports,4998.49,9326.38,5248.41,12590.61
P0184,Yoga Mat 184,Sports,10102.56,12764.06,10607.69,17231.48
P0185,Water Bottle 185,Home & Kitchen,2997.66,4616.18,3147.54,6231.84
P0186,Denim Jacket 186,Fashion,10018.52,19495.05,10519.45,26318.32
P0187,Winter Jacket 187,Fashion,1707.96,3010.68,1793.36,4064.42
P0188,Hair Dryer 188,Beauty,849.26,1305.01,891.72,1761.76
P0189,Moisturizer 189,Beauty,4793.86,9682.14,5033.55,13070.89
P0190,Wireless Mouse 190,Electronics,729.76,1391.45,766.25,1878.46
P0191,Wireless Headphones 191,Electronics,11500.06,16964.44,12075.06,22901.99
P0192,Resistance Bands 192,Sports,9966.61,17924.91,10464.94,24198.63
P0193,Dumbbell Set 193,Sports,9669.01,16982.53,10152.46,22926.42
P0194,Denim Jacket 194,Fashion,7668.4,12200.5,8051.82,16470.68
P0195,Air Fryer 195,Home & Kitchen,2830.99,4421.76,2972.54,5969.38
P0196,Coffee Maker 196,Home & Kitchen,6363.65,9812.92,6681.83,13247.44
P0197,Denim Jacket 197,Fashion,7288.11,12933.35,7652.52,17460.02
P0198,Cricket Bat 198,Sports,6442.87,10476.42,6765.01,14143.17
P0199,Dumbbell Set 199,Sports,3344.73,6545.92,3511.97,8836.99
P0200,Winter Jacket 200,Fashion,6328.4,11512.39,6644.82,15541.73
P0201,Running Shoes 201,Fashion,6046.88,7918.04,6349.22,10689.35
P0202,Smart Watch 202,Electronics,11957.13,21452.8,12554.99,28961.28
P0203,Smartphone 203,Electronics,10800.0,15989.13,11340.0,21585.33
P0204,Dumbbell Set 204,Sports,5721.55,10034.97,6007.63,13547.21
P0205,Sunscreen 205,Beauty,7588.37,13872.39,7967.79,18727.73
P0206,Wireless Mouse 206,Electronics,9050.1,13088.3,9502.61,17669.21
P0207,Bluetooth Speaker 207,Electronics,707.92,1159.81,743.32,1565.74
P0208,Running Shoes 208,Fashion,10770.58,15205.65,11309.11,20527.63
P0209,Wireless Headphones 209,Electronics,10363.48,13415.4,10881.65,18110.79
P0210,Wireless Headphones 210,Electronics,5651.96,8883.21,5934.56,11992.33
P0211,Perfume 211,Beauty,4876.69,7600.33,5120.52,10260.45
P0212,Running Shoes 212,Fashion,3493.62,7323.18,3668.3,9886.29
P0213,Denim Jacket 213,Fashion,5877.12,9576.18,6170.98,12927.84
P0214,Wireless Mouse 214,Electronics,819.21,1256.29,860.17,1695.99
P0215,Winter Jacket 215,Fashion,10270.66,17905.91,10784.19,24172.98
P0216,Wireless Mouse 216,Electronics,714.44,946.96,750.16,1278.4
P0217,Vacuum Cleaner 217,Home & Kitchen,4149.9,8579.57,4357.39,11582.42
P0218,Running Shoes 218,Fashion,11199.6,20044.1,11759.58,27059.54
P0219,Denim Jacket 219,Fashion,8901.99,16839.11,9347.09,22732.8
P0220,Sneakers 220,Fashion,3592.27,5010.88,3771.88,6764.69
P0221,Denim Jacket 221,Fashion,3255.99,5203.25,3418.79,7024.39
P0222,Hair Dryer 222,Beauty,359.46,578.47,377.43,780.93
P0223,Wireless Mouse 223,Electronics,8439.86,16445.37,8861.85,22201.25
P0224,Mixer Grinder 224,Home & Kitchen,870.77,1089.38,914.31,1470.66
P0225,Coffee Maker 225,Home & Kitchen,6531.45,9834.57,6858.02,13276.67
P0226,Wireless Mouse 226,Electronics,11556.83,24085.02,12134.67,32514.78
P0227,Yoga Mat 227,Sports,1580.79,2614.08,1659.83,3529.01
P0228,Air Fryer 228,Home & Kitchen,10765.42,16957.12,11303.69,22892.11
P0229,Cricket Bat 229,Sports,11900.26,16087.42,12495.27,21718.02
P0230,Sneakers 230,Fashion,1019.75,2119.08,1070.74,2860.76
P0231,Backpack 231,Fashion,10630.0,13468.45,11161.5,18182.41
P0232,Perfume 232,Beauty,6338.12,11894.14,6655.03,16057.09
P0233,Hair Dryer 233,Beauty,10906.21,20757.9,11451.52,28023.17
P0234,Perfume 234,Beauty,6984.43,10177.07,7333.65,13739.04
P0235,Smartphone 235,Electronics,8046.71,14651.65,8449.05,19779.73
P0236,Denim Jacket 236,Fashion,6662.21,8854.01,6995.32,11952.91
P0237,Vacuum Cleaner 237,Home & Kitchen,10414.57,15293.69,10935.3,20646.48
P0238,Smart Watch 238,Electronics,8886.75,17060.04,9331.09,23031.05
P0239,Winter Jacket 239,Fashion,6398.75,12701.41,6718.69,17146.9
P0240,Smart Watch 240,Electronics,10457.48,18480.6,10980.35,24948.81
P0241,Yoga Mat 241,Sports,3169.84,5327.91,3328.33,7192.68
P0242,Football 242,Sports,2140.89,2966.01,2247.93,4004.11
P0243,Yoga Mat 243,Sports,2176.68,2837.61,2285.51,3830.77
P0244,Air Fryer 244,Home & Kitchen,4207.9,5680.67,4418.3,7668.9
P0245,Bluetooth Speaker 245,Electronics,3092.67,4463.51,3247.3,6025.74
P0246,Cricket Bat 246,Sports,11182.06,17225.11,11741.16,23253.9
P0247,Mixer Grinder 247,Home & Kitchen,1538.26,2420.87,1615.17,3268.17
P0248,Resistance Bands 248,Sports,8478.19,13093.49,8902.1,17676.21
P0249,Cricket Bat 249,Sports,2513.89,3653.18,2639.58,4931.79
P0250,Cricket Bat 250,Sports,10615.15,17868.12,11145.91,24121.96
P0251,Coffee Maker 251,Home & Kitchen,11547.39,22534.65,12124.76,30421.78
P0252,Air Fryer 252,Home & Kitchen,5746.0,8548.6,6033.3,11540.61
P0253,Dumbbell Set 253,Sports,10585.14,21710.43,11114.4,29309.08
P0254,Water Bottle 254,Home & Kitchen,360.2,717.64,378.21,968.81
P0255,Smartphone 255,Electronics,9893.38,13727.06,10388.05,18531.53
P0256,Hair Dryer 256,Beauty,2974.91,5706.87,3123.66,7704.27
P0257,Dumbbell Set 257,Sports,10931.81,19003.85,11478.4,25655.2
P0258,Running Shoes 258,Fashion,313.11,542.18,328.77,731.94
P0259,Moisturizer 259,Beauty,6807.33,10771.83,7147.7,14541.97
P0260,Smart Watch 260,Electronics,9152.64,15339.64,9610.27,20708.51
P0261,Face Serum 261,Beauty,3326.65,5281.4,3492.98,7129.89
P0262,Resistance Bands 262,Sports,2559.65,4373.86,2687.63,5904.71
P0263,Wireless Headphones 263,Electronics,1283.95,2290.26,1348.15,3091.85
P0264,Face Serum 264,Beauty,4119.27,7510.08,4325.23,10138.61
P0265,Yoga Mat 265,Sports,6850.18,11663.18,7192.69,15745.29
P0266,Backpack 266,Fashion,1655.37,3084.3,1738.14,4163.8
P0267,Backpack 267,Fashion,4707.34,6449.46,4942.71,8706.77
P0268,Winter Jacket 268,Fashion,406.15,580.87,426.46,784.17
P0269,Water Bottle 269,Home & Kitchen,9878.55,19222.91,10372.48,25950.93
P0270,Mixer Grinder 270,Home & Kitchen,1802.85,2747.81,1892.99,3709.54
P0271,Denim Jacket 271,Fashion,3615.11,4589.24,3795.87,6195.47
P0272,Sneakers 272,Fashion,515.6,711.9,541.38,961.06
P0273,Resistance Bands 273,Sports,5357.22,7714.78,5625.08,10414.95
P0274,Cricket Bat 274,Sports,10129.42,20904.33,10635.89,28220.85
P0275,Face Serum 275,Beauty,4888.17,8491.17,5132.58,11463.08
P0276,Moisturizer 276,Beauty,2400.12,4903.02,2520.13,6619.08
P0277,Denim Jacket 277,Fashion,9118.28,15855.68,9574.19,21405.17
P0278,Backpack 278,Fashion,9529.04,15793.92,10005.49,21321.79
P0279,Backpack 279,Fashion,2332.92,3538.27,2449.57,4776.66
P0280,Winter Jacket 280,Fashion,9318.99,16451.89,9784.94,22210.05
P0281,Football 281,Sports,11383.39,15576.1,11952.56,21027.74
P0282,Water Bottle 282,Home & Kitchen,2246.62,4523.62,2358.95,6106.89
P0283,Vacuum Cleaner 283,Home & Kitchen,9320.52,18220.99,9786.55,24598.34
P0284,Wireless Headphones 284,Electronics,8590.29,13056.4,9019.8,17626.14
P0285,Perfume 285,Beauty,5840.81,12031.36,6132.85,16242.34
P0286,Smart Watch 286,Electronics,977.67,1907.85,1026.55,2575.6
P0287,Sunscreen 287,Beauty,1173.92,2132.26,1232.62,2878.55
P0288,Perfume 288,Beauty,10273.25,13904.82,10786.91,18771.51
P0289,Water Bottle 289,Home & Kitchen,11884.74,19687.06,12478.98,26577.53
P0290,Perfume 290,Beauty,8209.81,13794.05,8620.3,18621.97
P0291,Wireless Mouse 291,Electronics,5517.71,7987.82,5793.6,10783.56
P0292,Wireless Mouse 292,Electronics,7876.61,10381.14,8270.44,14014.54
P0293,Sneakers 293,Fashion,7254.43,13857.52,7617.15,18707.65
P0294,Mixer Grinder 294,Home & Kitchen,4788.26,6482.01,5027.67,8750.71
P0295,Wireless Headphones 295,Electronics,1067.83,1874.2,1121.22,2530.17
P0296,Perfume 296,Beauty,9911.7,20279.16,10407.29,27376.87
P0297,Sneakers 297,Fashion,4650.45,9276.2,4882.97,12522.87
P0298,Wireless Headphones 298,Electronics,9879.79,14682.25,10373.78,19821.04
P0299,Moisturizer 299,Beauty,3254.35,6423.21,3417.07,8671.33
P0300,Wireless Mouse 300,Electronics,312.04,390.14,327.64,526.69
P0301,Bluetooth Speaker 301,Electronics,2159.58,2731.94,2267.56,3688.12
P0302,Face Serum 302,Beauty,5781.91,10188.71,6071.01,13754.76
P0303,Face Serum 303,Beauty,11348.35,17704.32,11915.77,23900.83
P0304,Winter Jacket 304,Fashion,1495.67,2360.9,1570.45,3187.22
P0305,Winter Jacket 305,Fashion,10294.25,17806.74,10808.96,24039.1
P0306,Yoga Mat 306,Sports,6466.18,9136.81,6789.49,12334.69
P0307,Moisturizer 307,Beauty,9963.27,14247.4,10461.43,19233.99
P0308,Water Bottle 308,Home & Kitchen,3790.98,6300.27,3980.53,8505.36
P0309,Backpack 309,Fashion,10127.38,19152.05,10633.75,25855.27
P0310,Vacuum Cleaner 310,Home & Kitchen,9342.03,16596.8,9809.13,22405.68
P0311,Vacuum Cleaner 311,Home & Kitchen,2991.63,4495.68,3141.21,6069.17
P0312,Wireless Mouse 312,Electronics,1836.62,2967.59,1928.45,4006.25
P0313,Smartphone 313,Electronics,10456.24,14587.13,10979.05,19692.63
P0314,Football 314,Sports,11569.87,15196.28,12148.36,20514.98
P0315,Running Shoes 315,Fashion,666.24,1276.04,699.55,1722.65
P0316,Winter Jacket 316,Fashion,8855.86,13067.52,9298.65,17641.15
P0317,Mixer Grinder 317,Home & Kitchen,10941.44,15330.07,11488.51,20695.59
P0318,Wireless Mouse 318,Electronics,10331.11,18987.29,10847.67,25632.84
P0319,Smart Watch 319,Electronics,11584.89,20567.16,12164.13,27765.67
P0320,Water Bottle 320,Home & Kitchen,9193.1,16439.2,9652.76,22192.92
P0321,Face Serum 321,Beauty,5474.9,7908.82,5748.64,10676.91
P0322,Winter Jacket 322,Fashion,3949.84,5718.38,4147.33,7719.81
P0323,Running Shoes 323,Fashion,4052.69,5826.48,4255.32,7865.75
P0324,Water Bottle 324,Home & Kitchen,8775.75,12265.78,9214.54,16558.8
P0325,Cricket Bat 325,Sports,9026.29,16313.8,9477.6,22023.63
P0326,Winter Jacket 326,Fashion,2644.2,5211.23,2776.41,7035.16
P0327,Hair Dryer 327,Beauty,10457.04,19509.38,10979.89,26337.66
P0328,Moisturizer 328,Beauty,8664.61,16664.47,9097.84,22497.03
P0329,Air Fryer 329,Home & Kitchen,6884.18,10973.92,7228.39,14814.79
P0330,Bluetooth Speaker 330,Electronics,5816.93,10505.17,6107.78,14181.98
P0331,Vacuum Cleaner 331,Home & Kitchen,6655.82,10323.85,6988.61,13937.2
P0332,Sneakers 332,Fashion,2163.18,3670.22,2271.34,4954.8
P0333,Wireless Headphones 333,Electronics,2683.3,4452.64,2817.46,6011.06
P0334,Bluetooth Speaker 334,Electronics,1366.62,1913.75,1434.95,2583.56
P0335,Smart Watch 335,Electronics,2097.8,3312.46,2202.69,4471.82
P0336,Bluetooth Speaker 336,Electronics,5608.22,11604.8,5888.63,15666.48
P0337,Football 337,Sports,6505.15,9505.93,6830.41,12833.01
P0338,Running Shoes 338,Fashion,508.98,694.11,534.43,937.05
P0339,Perfume 339,Beauty,9622.53,15451.8,10103.66,20859.93
P0340,Bluetooth Speaker 340,Electronics,3741.77,7190.89,3928.86,9707.7
P0341,Hair Dryer 341,Beauty,10968.48,19138.09,11516.9,25836.42
P0342,Hair Dryer 342,Beauty,11619.88,21250.77,12200.87,28688.54
P0343,Bluetooth Speaker 343,Electronics,2469.87,3485.58,2593.36,4705.53
P0344,Air Fryer 344,Home & Kitchen,5706.54,10135.42,5991.87,13682.82
P0345,Vacuum Cleaner 345,Home & Kitchen,314.41,479.47,330.13,647.28
P0346,Sunscreen 346,Beauty,7300.43,14302.69,7665.45,19308.63
P0347,Backpack 347,Fashion,7405.49,13218.09,7775.76,17844.42
P0348,Smart Watch 348,Electronics,3196.22,4535.53,3356.03,6122.97
P0349,Mixer Grinder 349,Home & Kitchen,6833.43,8917.11,7175.1,12038.1
P0350,Moisturizer 350,Beauty,2938.82,3780.02,3085.76,5103.03
P0351,Sunscreen 351,Beauty,2181.66,3415.82,2290.74,4611.36
P0352,Cricket Bat 352,Sports,7922.78,11693.81,8318.92,15786.64
P0353,Running Shoes 353,Fashion,4113.33,7400.61,4319.0,9990.82
P0354,Smart Watch 354,Electronics,7206.09,12066.12,7566.39,16289.26
P0355,Wireless Mouse 355,Electronics,5368.99,7925.25,5637.44,10699.09
P0356,Sneakers 356,Fashion,11816.91,16270.14,12407.76,21964.69
P0357,Smartphone 357,Electronics,2050.09,2784.27,2152.59,3758.76
